Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Aruba,ABW,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.8,35.6,36.1,36.1,47.9,71.4,71.4,71.4,
Angola,AGO,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2,52.2,52.2,52.2,52.2,52.2,52.3,52.3,52.6,52.6,49,48,49.1,49.1,49.1,
Albania,ALB,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6,56.9,46.3,50,44,40.6,38.7,38.8,31.7,31.6,36.9,36.9,37.3,37.3,36.6,
Andorra,AND,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3444444444444,48.9555555555555,45.22,44.21,44.045,43.11,42.295,41.8761904761905,41.5238095238095,42.5761904761905,42.5952380952381,42.1666666666667,42.5047619047619,42.747619047619,42.5142857142857,
Emiratos Árabes Unidos,ARE,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,14.4,14.4,14.4,14.1,14.1,14.1,14.9,14.8,14.8,15.9,15.9,15.9,15.9,15.9,
Argentina,ARG,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3,107.3,107.3,107.3,107.3,107.4,107.4,107.5,119.4,137.4,137.6,106,106,106,106.3,
Armenia,ARM,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,36.6,38.6,38.6,38.6,38.6,38.8,38.8,35.9,20.1,20,18.5,18.5,18.5,22.6,
Samoa Americana,ASM,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,ATG,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,47.6,46.2,46.2,41,41,41,41,40.9,41.6,41.9,41.9,41.9,42.8,43,
Australia,AUS,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,51.1,50.1,50,47.8,47.6,47.3,47.2,47.3,47.4,47.6,47.6,47.5,47.4,47.4,
Austria,AUT,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,51.1,51.1,51.1,51.6,51.3,50.8,52.3,51.9,51.7,51.7,51.6,51.8,51.5,51.4,
Azerbaiyán,AZE,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4,42.4,40.9,40.9,40.9,38.9,40,40,39.8,39.8,39.8,39.8,39.8,41.2,40.7,
Burundi,BDI,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.2,280.2,280.2,280.2,280.2,154.9,46.5,46.5,45.2,40.3,40.3,40.1,41.5,41.2,41.2,
Bélgica,BEL,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,59.9,57.9,55.9,55.2,57.3,57.7,58.2,58,58.4,58.4,58.7,57.1,57.7,55.4,
Benin,BEN,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7,65.7,65.7,65.7,61.2,55,55,55,48.9,48.9,48.9,48.9,48.9,48.9,48.9,
Burkina Faso,BFA,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,47.6,47.6,44.5,44.5,44.8,42.7,42.7,41.3,41.3,41.3,41.3,41.3,41.3,41.3,
Bangladesh,BGD,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,35.4,34.4,34.4,33.4,33.4,33.4,
Bulgaria,BGR,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,41.6,35.8,33.9,30.4,28,27.2,27.8,27,27,27,27,27.1,27.7,28.3,
Bahrein,BHR,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,14.7,14.7,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.8,13.8,13.8,
Bahamas,BHS,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,42.9,42.9,42.9,44.6,44.6,48.5,41.1,33.8,33.8,31.5,31.5,33.8,
Bosnia y Herzegovina,BIH,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8,42.7,42.8,42.8,25.9,22.2,23.6,23.6,22.2,23.3,23.3,22.6,23.7,23.7,23.7,
Belarús,BLR,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.2,137.2,120.8,117.4,99.9,80.8,63,54.3,50.5,50.3,51.9,52.7,52.9,53.3,53.3,
Belice,BLZ,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,34.8,34.8,33.2,33.2,33.2,33.2,33.2,31.1,31.1,31.1,31.1,31.1,31.1,31.1,
Bermudas,BMU,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,80,80,80,80,80,83.4,83.7,83.7,83.7,83.7,83.7,83.7,83.7,
Brasil,BRA,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1,66,65.6,65.3,65.1,65.1,65.1,
Barbados,BRB,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,34.7,34.6,34.6,34.7,34.7,35.3,35.3,35.6,
Brunei Darussalam,BRN,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,37.4,37.4,30.1,15.7,16.7,15.4,15.8,15.8,8,8,8,8,8,
Bhután,BTN,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,
Botswana,BWA,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,17.1,17.1,17.1,17,19.5,19.5,25.4,25.3,25.1,25.1,25.1,25.1,25.1,25.1,
República Centroafricana,CAF,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7,203.8,203.8,203.8,203.8,203.8,54.6,67.4,73.3,73.3,73.3,73.3,73.3,73.3,73.3,
Canadá,CAN,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,45,44.3,44.1,42.3,22,20.7,20.1,19.9,21.1,21.1,21,20.9,20.5,24.5,
Europa Central y del Báltico,CEB,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9363636363636,43.1545454545455,42.3090909090909,41.9818181818182,41.3818181818182,40.7090909090909,40.7818181818182,41.4090909090909,39.2727272727273,39.1,39.3727272727273,38.9818181818182,38.9909090909091,38.4636363636364,36.6181818181818,
Suiza,CHE,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,27.6,27.9,27.8,28.7,28.8,28.9,29.4,28.8,28.8,28.8,28.8,28.8,28.8,28.8,
Islas del Canal,CHI,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,25.1,25.1,25.1,24.8,24.5,24.5,27.7,27.7,28.9,29.9,31.4,33,34,34,
China,CHN,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.8,68.6,67.9,68.2,66.5,64,59.2,
Côte d'Ivoire,CIV,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,53.4,50.6,50.6,50.4,50.2,50.1,44.4,52.5,51.9,51.9,51.3,50.1,50.1,50.1,
Camerún,CMR,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,50.8,50.8,50.4,48.8,48.8,48.8,48.8,48.8,48.8,48.8,57.7,57.7,57.7,57.7,
"Congo, República Democrática del",COD,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.2,288.2,288.2,263.3,292.7,339.1,339.1,339.1,55.7,54.7,54.6,54.6,54.6,54.6,50.7,
"Congo, República del",COG,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5,64.5,64.5,64.5,64.5,64.5,63.1,64.5,55.8,55,56,54.3,54.3,54.3,54.3,
Colombia,COL,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7,86.9,87.2,82.8,83,83,79.1,78.7,78.8,79.9,72.3,72.2,72.3,71.9,71.2,
Comoras,COM,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.9,217.9,217.9,217.9,217.9,217.9,217.9,217.9,216.5,216.5,216.5,216.5,216.5,219.6,219.6,
Cabo Verde,CPV,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1,53.1,53.1,53.1,49.7,37.5,37.9,37.2,36.5,36.5,36.5,36.6,36.6,37,37.5,
Costa Rica,CRI,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,58.1,58.1,58.1,58.1,58.3,58.3,58.6,58.2,58.2,58.2,58.3,58.3,58.3,58.3,
Estados pequeos del Caribe,CSS,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4090909090909,40.9090909090909,40.625,40.4,39.85,39.4166666666667,38.7076923076923,38.6538461538462,38.4769230769231,37.4615384615385,36.5538461538462,36.2307692307692,36.4615384615385,36.7769230769231,36.8769230769231,
Cuba,CUB,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas Caimán,CYM,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipre,CYP,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,20.6,21.7,21.6,21.6,21.9,22.5,24,24.2,22.7,22.2,22.4,
República Checa,CZE,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,48.2,47.7,47.7,46.4,45.4,45.7,45.7,45.6,46.5,46.5,46.1,46.1,46.1,46.1,
Alemania,DEU,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,47.4,49,49.4,43.9,47,45.6,45.9,49.1,48.8,48.8,48.9,48.9,49,48.8,
Djibouti,DJI,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8,37.8,37.8,37.8,37.8,38.1,38.1,38.1,37.6,37.6,37.6,37.7,37.9,37.9,37.9,
Dominica,DMA,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,37,37,37,37,37.1,37.1,37,37,37,35.2,32.6,32.6,32.6,
Dinamarca,DNK,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,30.8,31.3,28.5,27.6,27.5,25.7,26.3,25.6,25.4,23.9,24.4,23.8,23.8,23.8,
República Dominicana,DOM,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,35.8,39.5,35.2,38.4,40.1,41.2,43.4,43.5,43.5,43.5,42.4,48.8,48.8,48.8,
Argelia,DZA,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.9,76.9,74.2,74.2,72.5,72.5,72.5,72.4,72.3,73.2,73.2,66,66.1,66.1,66.1,
Asia oriental y el Pacífico (excluido altos ingresos),EAP,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,36.7941176470588,36.8588235294118,35.1941176470588,32.9529411764706,32.3411764705882,32.7588235294118,32.8888888888889,34.255,33.99,33.825,34.13,33.85,33.705,33.76,
inicial del dividendo demográfico,EAR,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8320754716981,40.8245283018868,39.9,39.8222222222222,39.0796296296296,38.7259259259259,38.6092592592593,38.8517857142857,38.9475409836066,38.3327868852459,38.4032786885246,37.327868852459,37.6819672131148,37.6934426229508,38.1426229508197,
Asia oriental y el Pacífico,EAS,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8416666666667,37.544,37.652,36.716,34.588,33.528,33.768,33.6115384615385,35.0551724137931,34.8724137931034,34.5068965517241,34.7034482758621,34.5,34.4068965517241,34.5310344827586,
Europa y Asia central (excluido altos ingresos),ECA,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0058823529412,54.3722222222222,50.4777777777778,50.3388888888889,44.5578947368421,40.1263157894737,39.0842105263158,38.4526315789474,37.845,34.77,35.23,34.2,33.585,33.255,32.54,
Europa y Asia central,ECS,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4953488372093,48.2755555555556,46.5933333333333,45.5739130434783,42.9702127659574,41.1255319148936,40.336170212766,40.2916666666667,39.9163265306123,38.7183673469388,38.5877551020408,37.9142857142857,37.230612244898,36.686,36.486,
Ecuador,ECU,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,35.2,35.2,34.8,34.8,35.2,34.4,34.4,33.5,32.8,32.8,32.5,32.5,32.3,34.4,
"Egipto, República Árabe de",EGY,Tasa tributaria total (% de utilidades comerciales),IC.TAX.TOTL.CP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4,46.4,45.1,44,43,42.5,43.6,42.6,40.1,44.7,44.9,43.5,45.8,46.9,44.4,
